time [s]    temp [*C]    temp [*F]
       0        21.19        70.14
       1        21.19        70.14
       2        21.19        70.14
       3        21.19        70.14
       4        21.19        70.14
       5        21.19        70.14
       6        21.19        70.14
       7        21.25        70.25
       8        21.19        70.14
       9        21.19        70.14
      10        21.25        70.25
      11        21.25        70.25
      12        21.25        70.25
      13        21.25        70.25
      14        21.25        70.25
      15        21.25        70.25
      16        21.25        70.25
      17        21.25        70.25
      18        21.25        70.25
      19        21.25        70.25
      20        21.25        70.25
      21        21.25        70.25
      22        21.25        70.25
      23        21.25        70.25
      24        21.25        70.25
      25        21.25        70.25
      26        21.25        70.25
      27        21.25        70.25
      28        21.25        70.25
      29        21.25        70.25
      30        21.25        70.25
      31        21.25        70.25
      32        21.25        70.25
      33        21.25        70.25
      34        21.25        70.25
      35        21.25        70.25
      36        21.25        70.25
      37        21.25        70.25
      38        21.25        70.25
      39        21.25        70.25
      40        21.25        70.25
      41        21.25        70.25
      42        21.25        70.25
      43        21.25        70.25
      44        21.25        70.25
      45        21.25        70.25
      46        21.25        70.25
      47        21.25        70.25
      48        21.25        70.25
      49        21.25        70.25
      50        21.25        70.25
      51        21.25        70.25
      52        21.25        70.25
      53        21.25        70.25
      54        21.25        70.25
      55        21.25        70.25
      56        21.25        70.25
      57        21.25        70.25
      58        21.25        70.25
      59        21.25        70.25
      60        21.25        70.25
      61        21.25        70.25
      62        21.25        70.25
      63        21.25        70.25
      64        21.25        70.25
      65        21.25        70.25
      66        21.25        70.25
      67        21.25        70.25
      68        21.25        70.25
      69        21.25        70.25
      70        21.25        70.25
      71        21.25        70.25
      72        21.25        70.25
      73        21.25        70.25
      74        21.25        70.25
      75        21.25        70.25
      76        21.25        70.25
      77        21.25        70.25
      78        21.25        70.25
      79        21.25        70.25
      80        21.25        70.25
      81        21.25        70.25
      82        21.25        70.25
      83        21.25        70.25
      84        21.25        70.25
      85        21.25        70.25
      86        21.25        70.25
      87        21.25        70.25
      88        21.25        70.25
      89        21.25        70.25
      90        21.25        70.25
      91        21.25        70.25
      92        21.25        70.25
      93        21.25        70.25
      94        21.25        70.25
      95        21.19        70.14
      96        21.19        70.14
      97        21.19        70.14
      98        21.25        70.25
      99        21.19        70.14
     100        21.19        70.14
     101        21.25        70.25
     102        21.19        70.14
     103        21.25        70.25
     104        21.25        70.25
     105        21.25        70.25
     106        21.25        70.25
     107        21.19        70.14
     108        21.25        70.25
     109        21.19        70.14
     110        21.25        70.25
     111        21.19        70.14
     112        21.19        70.14
     113        21.25        70.25
     114        21.19        70.14
     115        21.19        70.14
     116        21.25        70.25
     117        21.25        70.25
     118        21.25        70.25
     119        21.25        70.25
     120        21.19        70.14
     121        21.25        70.25
     122        21.25        70.25
     123        21.19        70.14
     124        21.19        70.14
     125        21.19        70.14
     126        21.19        70.14
     127        21.19        70.14
     128        21.19        70.14
     129        21.19        70.14
     130        21.19        70.14
     131        21.19        70.14
     132        21.19        70.14
     133        21.19        70.14
     134        21.19        70.14
     135        21.12        70.03
     136        21.12        70.03
     137        21.12        70.03
     138        21.19        70.14
     139        21.19        70.14
     140        21.19        70.14
     141        21.19        70.14
     142        21.12        70.03
     143        21.19        70.14
     144        21.12        70.03
     145        21.19        70.14
     146        21.19        70.14
     147        21.19        70.14
     148        21.19        70.14
     149        21.19        70.14
     150        21.19        70.14
     151        21.19        70.14
     152        21.19        70.14
     153        21.19        70.14
     154        21.19        70.14
     155        21.19        70.14
     156        21.19        70.14
     157        21.19        70.14
     158        21.19        70.14
     159        21.19        70.14
     160        21.19        70.14
     161        21.19        70.14
     162        21.19        70.14
     163        21.19        70.14
     164        21.19        70.14
     165        21.19        70.14
     166        21.19        70.14
     167        21.19        70.14
     168        21.19        70.14
     169        21.19        70.14
     170        21.19        70.14
     171        21.19        70.14
     172        21.19        70.14
     173        21.19        70.14
     174        21.19        70.14
     175        21.19        70.14
     176        21.19        70.14
     177        21.19        70.14
     178        21.19        70.14
     179        21.19        70.14
     180        21.19        70.14
     181        21.19        70.14
     182        21.19        70.14
     183        21.19        70.14
     184        21.19        70.14
     185        21.19        70.14
     186        21.19        70.14
     187        21.19        70.14
     188        21.19        70.14
     189        21.19        70.14
     190        21.19        70.14
     191        21.19        70.14
     192        21.19        70.14
     193        21.19        70.14
     194        21.25        70.25
     195        21.19        70.14
     196        21.19        70.14
     197        21.19        70.14
     198        21.19        70.14
     199        21.19        70.14
     200        21.19        70.14
     201        21.19        70.14
     202        21.19        70.14
     203        21.19        70.14
     204        21.19        70.14
     205        21.19        70.14
     206        21.19        70.14
     207        21.19        70.14
     208        21.19        70.14
     209        21.19        70.14
     210        21.19        70.14
     211        21.19        70.14
     212        21.19        70.14
     213        21.19        70.14
     214        21.19        70.14
     215        21.19        70.14
     216        21.19        70.14
     217        21.19        70.14
     218        21.19        70.14
     219        21.19        70.14
     220        21.19        70.14
     221        21.19        70.14
     222        21.19        70.14
     223        21.19        70.14
     224        21.19        70.14
     225        21.19        70.14
     226        21.19        70.14
     227        21.19        70.14
     228        21.19        70.14
     229        21.19        70.14
     230        21.19        70.14
     231        21.19        70.14
     232        21.19        70.14
     233        21.19        70.14
     234        21.19        70.14
     235        21.19        70.14
     236        21.12        70.03
     237        21.19        70.14
     238        21.19        70.14
     239        21.19        70.14
     240        21.19        70.14
     241        21.12        70.03
     242        21.12        70.03
     243        21.12        70.03
     244        21.12        70.03
     245        21.12        70.03
     246        21.12        70.03
     247        21.12        70.03
     248        21.12        70.03
     249        21.12        70.03
     250        21.12        70.03
     251        21.12        70.03
     252        21.12        70.03
     253        21.12        70.03
     254        21.12        70.03
     255        21.12        70.03
     256        21.12        70.03
     257        21.12        70.03
     258        21.12        70.03
     259        21.12        70.03
     260        21.12        70.03
     261        21.12        70.03
     262        21.12        70.03
     263        21.12        70.03
     264        21.12        70.03
     265        21.12        70.03
     266        21.12        70.03
     267        21.12        70.03
     268        21.12        70.03
     269        21.12        70.03
     270        21.12        70.03
     271        21.12        70.03
     272        21.12        70.03
     273        21.12        70.03
     274        21.12        70.03
     275        21.12        70.03
     276        21.12        70.03
     277        21.12        70.03
     278        21.12        70.03
     279        21.12        70.03
     280        21.12        70.03
     281        21.12        70.03
     282        21.12        70.03
     283        21.12        70.03
     284        21.12        70.03
     285        21.12        70.03
     286        21.12        70.03
     287        21.12        70.03
     288        21.12        70.03
     289        21.12        70.03
     290        21.12        70.03
     291        21.12        70.03
     292        21.12        70.03
     293        21.12        70.03
     294        21.12        70.03
     295        21.12        70.03
     296        21.12        70.03
     297        21.12        70.03
     298        21.12        70.03
     299        21.12        70.03
     300        21.12        70.03
     301        21.12        70.03
     302        21.12        70.03
     303        21.12        70.03
     304        21.12        70.03
     305        21.12        70.03
     306        21.12        70.03
     307        21.06        69.91
     308        21.12        70.03
     309        21.12        70.03
     310        21.12        70.03
     311        21.12        70.03
     312        21.12        70.03
     313        21.12        70.03
     314        21.06        69.91
     315        21.06        69.91
     316        21.12        70.03
     317        21.06        69.91
     318        21.06        69.91
     319        21.06        69.91
     320        21.06        69.91
     321        21.06        69.91
     322        21.06        69.91
     323        21.06        69.91
     324        21.06        69.91
     325        21.06        69.91
     326        21.06        69.91
     327        21.06        69.91
     328        21.06        69.91
     329        21.06        69.91
     330        21.06        69.91
     331        21.06        69.91
     332        21.06        69.91
     333        21.06        69.91
     334        21.06        69.91
     335        21.06        69.91
     336        21.06        69.91
     337        21.06        69.91
     338        21.06        69.91
     339        21.06        69.91
     340        21.06        69.91
     341        21.06        69.91
     342        21.06        69.91
     343        21.06        69.91
     344        21.06        69.91
     345        21.06        69.91
     346        21.06        69.91
     347        21.06        69.91
     348        21.06        69.91
     349        21.06        69.91
     350        21.06        69.91
     351        21.06        69.91
     352        21.06        69.91
     353        21.06        69.91
     354        21.06        69.91
     355        21.06        69.91
     356        21.06        69.91
     357        21.06        69.91
     358        21.06        69.91
     359        21.06        69.91
     360        21.06        69.91
     361        21.06        69.91
     362        21.06        69.91
     363        21.06        69.91
     364        21.06        69.91
     365        21.00        69.80
     366        21.00        69.80
     367        21.00        69.80
     368        21.00        69.80
     369        21.00        69.80
     370        21.00        69.80
     371        21.00        69.80
     372        21.00        69.80
     373        21.00        69.80
     374        21.00        69.80
     375        21.00        69.80
     376        21.00        69.80
     377        21.00        69.80
     378        21.00        69.80
     379        21.00        69.80
     380        21.00        69.80
     381        21.00        69.80
     382        21.00        69.80
     383        21.00        69.80
     384        21.00        69.80
     385        21.00        69.80
     386        21.00        69.80
     387        21.00        69.80
     388        21.00        69.80
     389        21.00        69.80
     390        21.00        69.80
     391        21.00        69.80
     392        21.00        69.80
     393        21.00        69.80
     394        21.00        69.80
     395        21.00        69.80
     396        21.00        69.80
     397        21.00        69.80
     398        21.00        69.80
     399        21.00        69.80
     400        21.00        69.80
     401        21.00        69.80
     402        21.00        69.80
     403        21.00        69.80
     404        21.00        69.80
     405        21.00        69.80
     406        21.00        69.80
     407        21.00        69.80
     408        21.00        69.80
     409        21.00        69.80
     410        21.00        69.80
     411        21.00        69.80
     412        21.00        69.80
     413        21.00        69.80
     414        21.00        69.80
     415        21.00        69.80
     416        21.00        69.80
     417        21.00        69.80
     418        21.00        69.80
     419        21.00        69.80
     420        21.00        69.80
     421        21.00        69.80
     422        21.00        69.80
     423        21.00        69.80
     424        21.00        69.80
     425        21.00        69.80
     426        21.00        69.80
     427        21.00        69.80
     428        21.00        69.80
     429        21.00        69.80
     430        21.00        69.80
     431        20.94        69.69
     432        21.00        69.80
     433        21.00        69.80
     434        21.00        69.80
     435        21.00        69.80
     436        21.00        69.80
     437        20.94        69.69
     438        21.00        69.80
     439        21.00        69.80
     440        20.94        69.69
     441        20.94        69.69
     442        20.94        69.69
     443        20.94        69.69
     444        20.94        69.69
     445        20.94        69.69
     446        20.94        69.69
     447        20.94        69.69
     448        20.94        69.69
     449        20.94        69.69
     450        20.94        69.69
     451        20.94        69.69
     452        20.94        69.69
     453        20.94        69.69
     454        20.94        69.69
     455        20.94        69.69
     456        20.94        69.69
     457        20.94        69.69
     458        20.94        69.69
     459        20.94        69.69
     460        20.94        69.69
     461        20.94        69.69
     462        20.94        69.69
     463        20.94        69.69
     464        20.94        69.69
     465        20.94        69.69
     466        20.94        69.69
     467        20.94        69.69
     468        20.94        69.69
     469        20.94        69.69
     470        20.94        69.69
     471        20.94        69.69
     472        20.94        69.69
     473        20.94        69.69
     474        20.94        69.69
     475        20.94        69.69
     476        20.94        69.69
     477        20.94        69.69
     478        20.94        69.69
     479        20.94        69.69
     480        20.94        69.69
     481        20.94        69.69
     482        20.94        69.69
     483        20.94        69.69
     484        20.94        69.69
     485        20.88        69.58
     486        20.94        69.69
