    time [s]    temp [*C]    temp [*F]
       0.927        18.44        65.19
       2.841        18.44        65.19
       4.761        18.44        65.19
       6.681        18.44        65.19
       8.601        18.44        65.19
      10.521        18.44        65.19
      12.441        18.44        65.19
      14.361        18.44        65.19
      16.281        18.44        65.19
      18.201        18.44        65.19
      20.121        18.44        65.19
      22.041        18.44        65.19
      23.961        18.44        65.19
      25.881        18.38        65.08
      27.801        18.38        65.08
      29.721        18.38        65.08
      31.641        18.38        65.08
      33.561        18.38        65.08
      35.481        18.38        65.08
      37.401        18.38        65.08
      39.321        18.38        65.08
      41.241        18.38        65.08
      43.161        18.38        65.08
      45.081        18.38        65.08
      47.001        18.38        65.08
      48.921        18.38        65.08
      50.841        18.38        65.08
      52.761        18.38        65.08
      54.681        18.38        65.08
      56.601        18.31        64.96
      58.521        18.31        64.96
      60.441        18.31        64.96
      62.361        18.31        64.96
      64.281        18.31        64.96
      66.201        18.31        64.96
      68.121        18.31        64.96
      70.041        18.31        64.96
      71.961        18.31        64.96
      73.881        18.31        64.96
      75.801        18.31        64.96
      77.721        18.31        64.96
      79.641        18.31        64.96
      81.561        18.31        64.96
      83.481        18.25        64.85
      85.401        18.25        64.85
      87.321        18.25        64.85
      89.241        18.25        64.85
      91.161        18.25        64.85
      93.081        18.25        64.85
      95.001        18.25        64.85
      96.921        18.25        64.85
      98.841        18.25        64.85
     100.761        18.25        64.85
     102.681        18.25        64.85
     104.601        18.25        64.85
     106.521        18.25        64.85
     108.441        18.19        64.74
     110.361        18.19        64.74
     112.281        18.19        64.74
     114.201        18.19        64.74
     116.121        18.19        64.74
     118.041        18.19        64.74
     119.961        18.19        64.74
     121.881        18.19        64.74
     123.801        18.19        64.74
     125.721        18.19        64.74
     127.641        18.19        64.74
     129.561        18.19        64.74
     131.481        18.19        64.74
     133.401        18.19        64.74
     135.321        18.19        64.74
     137.241        18.19        64.74
     139.161        18.19        64.74
     141.081        18.19        64.74
     143.001        18.25        64.85
     144.921        18.31        64.96
     146.841        18.31        64.96
     148.761        18.38        65.08
     150.681        18.38        65.08
     152.601        18.38        65.08
     154.521        18.44        65.19
     156.441        18.44        65.19
     158.361        18.50        65.30
     160.281        18.50        65.30
     162.201        18.50        65.30
     164.121        18.50        65.30
     166.041        18.50        65.30
     167.961        18.50        65.30
     169.881        18.56        65.41
     171.801        18.56        65.41
     173.721        18.56        65.41
     175.641        18.56        65.41
     177.561        18.56        65.41
     179.481        18.56        65.41
     181.401        18.56        65.41
     183.321        18.56        65.41
     185.241        18.56        65.41
     187.161        18.62        65.53
     189.081        18.62        65.53
     191.001        18.62        65.53
     192.921        18.62        65.53
     194.841        18.62        65.53
     196.761        18.62        65.53
     198.681        18.62        65.53
     200.601        18.62        65.53
     202.521        18.69        65.64
     204.441        18.69        65.64
     206.361        18.69        65.64
     208.281        18.69        65.64
     210.201        18.75        65.75
     212.121        18.69        65.64
     214.041        18.69        65.64
     215.961        18.69        65.64
     217.881        18.69        65.64
     219.801        18.69        65.64
     221.721        18.75        65.75
     223.641        18.75        65.75
     225.561        18.75        65.75
     227.481        18.75        65.75
     229.401        18.75        65.75
     231.321        18.75        65.75
     233.241        18.81        65.86
     235.161        18.88        65.97
     237.081        18.94        66.09
     239.881        19.06        66.31
     241.801        19.12        66.42
     243.722        19.19        66.54
     245.641        19.19        66.54
     247.561        19.25        66.65
     249.481        19.25        66.65
     251.401        19.31        66.76
     253.321        19.31        66.76
     255.241        19.31        66.76
     257.161        19.31        66.76
     259.081        19.31        66.76
     261.001        19.31        66.76
     262.921        19.31        66.76
     264.841        19.31        66.76
     266.761        19.31        66.76
     268.681        19.31        66.76
     270.601        19.31        66.76
     272.521        19.25        66.65
     274.441        19.25        66.65
     276.361        19.25        66.65
     278.281        19.25        66.65
     280.201        19.25        66.65
     282.121        19.25        66.65
     284.041        19.25        66.65
     285.961        19.31        66.76
     287.881        19.31        66.76
     289.801        19.31        66.76
     291.721        19.31        66.76
     293.641        19.31        66.76
     295.561        19.25        66.65
     297.481        19.25        66.65
     299.401        19.25        66.65
     301.321        19.25        66.65
     303.241        19.25        66.65
     305.161        19.25        66.65
     307.081        19.25        66.65
     309.001        19.25        66.65
     310.921        19.25        66.65
     312.841        19.19        66.54
     314.761        19.19        66.54
     316.681        19.19        66.54
     318.601        19.19        66.54
     320.521        19.19        66.54
     322.441        19.19        66.54
     324.361        19.12        66.42
     326.281        19.12        66.42
     328.201        19.12        66.42
     330.121        19.12        66.42
     332.041        19.12        66.42
     333.961        19.12        66.42
     335.881        19.19        66.54
     337.801        19.19        66.54
     339.721        19.19        66.54
     341.641        19.19        66.54
     343.561        19.19        66.54
     345.481        19.19        66.54
     347.401        19.25        66.65
     349.321        19.25        66.65
     351.241        19.25        66.65
     353.161        19.25        66.65
     355.081        19.25        66.65
     357.001        19.25        66.65
     358.921        19.25        66.65
     360.841        19.19        66.54
     362.761        19.19        66.54
     364.681        19.19        66.54
     366.601        19.19        66.54
     368.521        19.19        66.54
     370.441        19.19        66.54
     372.361        19.19        66.54
     374.281        19.19        66.54
     376.201        19.19        66.54
     378.121        19.19        66.54
     380.041        19.19        66.54
     381.961        19.19        66.54
     383.881        19.19        66.54
     385.801        19.19        66.54
     387.721        19.19        66.54
     389.641        19.19        66.54
     391.561        19.19        66.54
     393.481        19.19        66.54
     395.401        19.19        66.54
     397.321        19.19        66.54
     399.241        19.19        66.54
     401.161        19.19        66.54
     403.081        19.19        66.54
     405.001        19.19        66.54
     406.921        19.19        66.54
     408.841        19.19        66.54
     410.761        19.19        66.54
     412.681        19.19        66.54
     414.601        19.19        66.54
     416.521        19.19        66.54
     418.441        19.12        66.42
     420.361        19.12        66.42
     422.281        19.12        66.42
     424.201        19.12        66.42
     426.121        19.12        66.42
     428.041        19.12        66.42
     429.961        19.12        66.42
     431.881        19.06        66.31
     433.801        19.12        66.42
     435.721        19.12        66.42
     437.641        19.12        66.42
     439.561        19.12        66.42
     441.481        19.12        66.42
     443.401        19.12        66.42
     445.321        19.12        66.42
     447.241        19.12        66.42
     449.161        19.19        66.54
     451.081        19.19        66.54
     453.001        19.19        66.54
     454.921        19.19        66.54
     456.841        19.19        66.54
     458.761        19.19        66.54
     460.681        19.19        66.54
     462.601        19.19        66.54
     464.521        19.19        66.54
     466.441        19.19        66.54
     468.361        19.19        66.54
     470.281        19.19        66.54
     472.201        19.19        66.54
     474.121        19.19        66.54
     476.041        19.19        66.54
     477.961        19.12        66.42
     479.881        19.12        66.42
     481.801        19.12        66.42
     483.721        19.12        66.42
     485.641        19.12        66.42
     487.561        19.12        66.42
     489.481        19.12        66.42
     491.401        19.12        66.42
     493.321        19.06        66.31
     495.241        19.06        66.31
     497.161        19.06        66.31
     499.081        19.06        66.31
     501.001        19.06        66.31
     502.921        19.06        66.31
     504.841        19.06        66.31
     506.761        19.12        66.42
     508.681        19.19        66.54
     510.601        19.19        66.54
     512.521        19.19        66.54
     514.441        19.19        66.54
     516.361        19.19        66.54
     518.281        19.19        66.54
     520.201        19.19        66.54
     522.121        19.19        66.54
     524.041        19.19        66.54
     525.961        19.25        66.65
     527.881        19.25        66.65
     529.801        19.31        66.76
     531.721        19.44        66.99
     533.641        19.50        67.10
     535.561        19.56        67.21
     537.481        19.62        67.33
     539.401        19.75        67.55
     541.321        19.81        67.66
     543.241        19.94        67.89
     545.161        20.00        68.00
     547.081        20.06        68.11
     549.001        20.19        68.34
     550.921        20.31        68.56
     552.841        20.38        68.67
     554.761        20.50        68.90
     556.681        20.62        69.12
     558.601        20.75        69.35
     560.521        20.88        69.58
     562.441        20.94        69.69
     564.361        21.06        69.91
     566.281        21.12        70.03
     568.201        21.19        70.14
     570.121        21.31        70.36
     572.041        21.38        70.47
     573.961        21.44        70.59
     575.881        21.56        70.81
     577.801        21.62        70.92
     579.721        21.69        71.04
     581.641        21.75        71.15
     583.561        21.81        71.26
     585.481        21.88        71.38
     587.401        21.94        71.49
     589.321        22.06        71.71
     591.241        22.12        71.83
     593.161        22.19        71.94
     595.081        22.25        72.05
     597.001        22.38        72.28
     598.921        22.44        72.39
     600.841        22.50        72.50
     602.761        22.62        72.72
     604.681        22.69        72.84
     606.601        22.75        72.95
     608.521        22.88        73.17
     610.441        22.88        73.17
     612.361        23.00        73.40
     614.281        23.06        73.51
     616.201        23.12        73.62
     618.121        23.19        73.74
     620.041        23.25        73.85
     621.961        23.31        73.96
     623.881        23.38        74.08
     625.801        23.44        74.19
     627.721        23.56        74.41
     629.641        23.62        74.53
     631.561        23.69        74.64
     633.481        23.75        74.75
     635.401        23.81        74.86
     637.321        23.88        74.97
     639.241        23.94        75.09
     641.161        24.00        75.20
     643.081        24.06        75.31
     645.001        24.12        75.42
     646.921        24.19        75.54
     648.841        24.19        75.54
     650.761        24.25        75.65
     652.681        24.31        75.76
     654.601        24.38        75.88
     656.521        24.44        75.99
     658.441        24.44        75.99
     660.361        24.50        76.10
     662.281        24.56        76.21
     664.201        24.56        76.21
     666.121        24.62        76.33
     668.041        24.69        76.44
     669.961        24.75        76.55
     671.881        24.75        76.55
     673.801        24.81        76.66
     675.721        24.81        76.66
     677.641        24.88        76.78
     679.561        24.94        76.89
     681.481        24.94        76.89
     683.401        25.00        77.00
     685.321        25.06        77.11
     687.241        25.06        77.11
     689.161        25.12        77.22
     691.081        25.19        77.34
     693.001        25.31        77.56
     694.921        25.38        77.67
     696.841        25.38        77.67
     698.761        25.44        77.79
     700.681        25.44        77.79
     702.601        25.44        77.79
     704.521        25.38        77.67
     706.441        25.38        77.67
     708.361        25.38        77.67
     710.281        25.31        77.56
     712.201        25.31        77.56
     714.121        25.31        77.56
     716.041        25.25        77.45
     717.961        25.25        77.45
     719.881        25.19        77.34
     721.801        25.19        77.34
     723.721        25.12        77.22
     725.641        25.12        77.22
     727.561        25.12        77.22
     729.481        25.06        77.11
     731.401        25.06        77.11
     733.321        25.06        77.11
     735.241        25.00        77.00
     737.161        25.00        77.00
     739.081        25.00        77.00
     741.001        24.94        76.89
     742.921        24.94        76.89
     744.841        24.88        76.78
     746.761        24.88        76.78
     748.681        24.81        76.66
     750.601        24.81        76.66
     752.524        24.75        76.55
     754.441        24.69        76.44
     756.361        24.62        76.33
     758.281        24.62        76.33
     760.201        24.56        76.21
     762.121        24.50        76.10
     764.041        24.44        75.99
     765.961        24.44        75.99
     767.881        24.38        75.88
     769.801        24.38        75.88
     771.721        24.31        75.76
     773.641        24.25        75.65
     775.561        24.25        75.65
     777.481        24.19        75.54
     779.401        24.12        75.42
     781.321        24.12        75.42
     783.241        24.06        75.31
     785.161        24.00        75.20
     787.081        24.00        75.20
     789.001        23.94        75.09
     790.921        23.94        75.09
     792.841        23.88        74.97
     794.761        23.81        74.86
     796.681        23.81        74.86
     798.601        23.75        74.75
     800.521        23.75        74.75
     802.441        23.69        74.64
     804.361        23.62        74.53
     806.281        23.56        74.41
     808.201        23.56        74.41
     810.121        23.50        74.30
     812.041        23.44        74.19
     813.961        23.38        74.08
     815.881        23.38        74.08
     817.801        23.31        73.96
     819.721        23.25        73.85
     821.641        23.19        73.74
     823.561        23.19        73.74
     825.481        23.12        73.62
     827.401        23.06        73.51
     829.321        23.00        73.40
     831.241        22.94        73.29
     833.161        22.94        73.29
     835.081        22.88        73.17
     837.001        22.81        73.06
     838.921        22.75        72.95
     840.841        22.69        72.84
     842.761        22.62        72.72
     844.681        22.62        72.72
     846.601        22.56        72.61
     848.521        22.50        72.50
     850.441        22.44        72.39
     852.361        22.44        72.39
     854.281        22.38        72.28
     856.201        22.31        72.16
     858.121        22.31        72.16
     860.041        22.25        72.05
     861.961        22.19        71.94
     863.881        22.19        71.94
     865.801        22.12        71.83
     867.721        22.12        71.83
     869.641        22.06        71.71
     871.561        22.00        71.60
     873.481        22.00        71.60
     875.401        21.94        71.49
     877.321        21.88        71.38
     879.241        21.81        71.26
     881.161        21.81        71.26
     883.081        21.75        71.15
     885.001        21.69        71.04
     886.921        21.69        71.04
     888.841        21.62        70.92
     890.761        21.62        70.92
     892.681        21.56        70.81
     894.601        21.50        70.70
     896.521        21.50        70.70
     898.441        21.44        70.59
     900.361        21.38        70.47
     902.281        21.38        70.47
     904.201        21.31        70.36
     906.121        21.25        70.25
     908.041        21.19        70.14
     909.961        21.19        70.14
     911.881        21.12        70.03
     913.801        21.06        69.91
     915.721        21.06        69.91
     917.641        21.00        69.80
     919.561        21.00        69.80
     921.481        20.94        69.69
     923.401        20.88        69.58
     925.321        20.88        69.58
     927.241        20.81        69.46
     929.161        20.81        69.46
     931.081        20.75        69.35
     933.001        20.75        69.35
     934.921        20.69        69.24
     936.841        20.69        69.24
     938.761        20.62        69.12
     940.681        20.62        69.12
     942.601        20.56        69.01
     944.521        20.50        68.90
     946.441        20.50        68.90
     948.361        20.44        68.79
     950.281        20.44        68.79
     952.201        20.38        68.67
     954.121        20.38        68.67
     956.041        20.31        68.56
     957.961        20.31        68.56
     959.881        20.31        68.56
     961.801        20.25        68.45
     963.721        20.25        68.45
     965.641        20.19        68.34
     967.561        20.12        68.22
     969.481        20.12        68.22
     971.401        20.06        68.11
     973.321        20.06        68.11
     975.241        20.00        68.00
     977.161        20.00        68.00
     979.081        19.94        67.89
     981.001        19.94        67.89
     982.921        19.88        67.78
     984.841        19.88        67.78
     986.761        19.88        67.78
     988.681        19.81        67.66
     990.601        19.81        67.66
     992.521        19.75        67.55
     994.441        19.75        67.55
     996.361        19.69        67.44
     998.281        19.69        67.44
    1000.201        19.62        67.33
    1002.121        19.62        67.33
    1004.041        19.56        67.21
    1005.961        19.56        67.21
    1007.881        19.56        67.21
    1009.801        19.50        67.10
    1011.721        19.50        67.10
    1013.641        19.44        66.99
    1015.561        19.44        66.99
    1017.481        19.44        66.99
    1019.401        19.44        66.99
    1021.321        19.38        66.88
    1023.241        19.38        66.88
    1025.161        19.38        66.88
    1027.081        19.31        66.76
    1029.001        19.31        66.76
    1030.921        19.31        66.76
    1032.841        19.25        66.65
    1034.764        19.25        66.65
    1036.681        19.25        66.65
    1038.601        19.19        66.54
    1040.521        19.19        66.54
    1042.441        19.19        66.54
    1044.361        19.12        66.42
    1046.281        19.12        66.42
    1048.201        19.12        66.42
    1050.121        19.06        66.31
    1052.041        19.06        66.31
    1053.961        19.06        66.31
    1055.881        19.00        66.20
    1057.801        19.00        66.20
    1059.721        19.00        66.20
    1061.641        19.00        66.20
    1063.561        18.94        66.09
    1065.481        18.94        66.09
    1067.401        18.88        65.97
    1069.321        18.88        65.97
    1071.244        18.88        65.97
    1073.161        18.88        65.97
    1075.081        18.81        65.86
    1077.001        18.81        65.86
    1078.921        18.81        65.86
    1080.841        18.75        65.75
    1082.761        18.75        65.75
    1084.681        18.75        65.75
    1086.601        18.69        65.64
    1088.521        18.69        65.64
    1090.441        18.69        65.64
    1092.361        18.62        65.53
    1094.281        18.62        65.53
    1096.201        18.62        65.53
    1098.121        18.62        65.53
    1100.041        18.56        65.41
    1101.961        18.56        65.41
    1103.881        18.56        65.41
    1105.801        18.56        65.41
    1107.721        18.50        65.30
    1109.641        18.50        65.30
    1111.561        18.50        65.30
    1113.481        18.50        65.30
    1115.401        18.44        65.19
    1117.321        18.44        65.19
    1119.241        18.44        65.19
    1121.161        18.44        65.19
    1123.081        18.44        65.19
    1125.001        18.38        65.08
    1126.921        18.38        65.08
    1128.841        18.38        65.08
    1130.761        18.38        65.08
    1132.681        18.38        65.08
    1134.601        18.31        64.96
    1136.521        18.31        64.96
    1138.441        18.31        64.96
    1140.361        18.31        64.96
    1142.281        18.31        64.96
    1144.208        18.25        64.85
    1146.121        18.25        64.85
    1148.041        18.25        64.85
    1149.961        18.25        64.85
    1151.881        18.25        64.85
    1153.801        18.19        64.74
    1155.721        18.19        64.74
    1157.641        18.19        64.74
    1159.561        18.19        64.74
    1161.481        18.19        64.74
    1163.401        18.12        64.62
    1165.321        18.12        64.62
    1167.241        18.12        64.62
    1169.161        18.12        64.62
    1171.081        18.12        64.62
    1173.001        18.06        64.51
    1174.921        18.06        64.51
    1176.841        18.06        64.51
    1178.761        18.06        64.51
    1180.681        18.06        64.51
    1182.601        18.06        64.51
    1184.521        18.06        64.51
    1186.441        18.00        64.40
    1188.361        18.00        64.40
    1190.281        18.00        64.40
    1192.201        18.00        64.40
    1194.121        18.00        64.40
    1196.041        17.94        64.29
    1197.961        17.94        64.29
    1199.881        17.94        64.29
    1201.801        17.94        64.29
    1203.721        17.88        64.17
    1205.641        17.88        64.17
    1207.561        17.88        64.17
    1209.481        17.88        64.17
    1211.401        17.88        64.17
    1213.321        17.81        64.06
    1215.241        17.88        64.17
    1217.161        17.81        64.06
    1219.081        17.81        64.06
    1221.001        17.81        64.06
    1222.921        17.81        64.06
    1224.841        17.81        64.06
    1226.761        17.75        63.95
    1228.681        17.75        63.95
    1230.601        17.75        63.95
    1232.521        17.75        63.95
    1234.441        17.75        63.95
    1236.361        17.75        63.95
    1238.281        17.75        63.95
    1240.201        17.69        63.84
    1242.121        17.69        63.84
    1244.041        17.69        63.84
    1245.961        17.69        63.84
    1247.881        17.69        63.84
    1249.801        17.69        63.84
    1251.721        17.69        63.84
    1253.641        17.62        63.73
    1255.561        17.62        63.73
    1257.481        17.62        63.73
    1259.401        17.62        63.73
    1261.321        17.62        63.73
    1263.241        17.62        63.73
